original_paragraph,transformed_paragraph,transformation_type,similarity_score,same_meaning
"The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay.","The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay.",human_like_rewrite,1.0,True
"The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests left glowing reviews about the friendly service and comfortable stay.","The hotel manager greeted each guest with a warm welcome and offered personal recommendations for local restaurants. Housekeeping maintained the suites meticulously, ensuring fresh linens and clean amenities. By the end of the weekend, guests received positive feedback about the friendly service and comfortable stay.",formal_rewrite,0.93,True
"When the software update was released, the development team scheduled a full backup before deployment. They ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.","They ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times. When the software update was released, the development team scheduled a full backup before deployment.",sentence_reorder,0.227,True
"When the software update was released, the development team scheduled a full backup before deployment. They ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.","When the software update was released, the development team scheduled a full backup before deployment. them ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.",paragraph_pronoun_change,0.997,True
"When the software update was released, the development team scheduled a full backup before deployment. They ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.","When the system release was released, the engineering staff scheduled a full backup before deployment. They ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.",phrase_level_rewrite,0.056,True
"When the software update was released, the development team scheduled a full backup before deployment. They ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.","When the software update was released, the development team scheduled a full backup before deployment. The team ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.",human_like_rewrite,0.99,True
"When the software update was released, the development team scheduled a full backup before deployment. They ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.","When the software update was released, the development team scheduled a full backup before deployment. They ran automated tests overnight and fixed two critical bugs that affected login and payment processing. The rollout proceeded smoothly, and customers praised the faster load times.",formal_rewrite,1.0,True
"The city council approved the new green space project after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.","Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood. The city council approved the new green space project after a series of community meetings.",sentence_reorder,0.326,True
"The city council approved the new green space project after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.","The city council approved the new green space project after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.",paragraph_pronoun_change,1.0,True
"The city council approved the new green space project after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.","The municipal leaders authorized the new community park initiative after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.",phrase_level_rewrite,0.827,True
"The city council approved the new green space project after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.","The city council approved the new green space project after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.",human_like_rewrite,1.0,True
"The city council approved the new green space project after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.","The city council approved the new green space project after a series of community meetings. Volunteers agreed to plant additional trees, install benches, and maintain the garden beds throughout the summer. Residents expressed excitement about the healthier, quieter neighborhood.",formal_rewrite,1.0,True
"The executive chef prepared a seasonal menu featuring fresh vegetables from local farms. He combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.","He combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation. The executive chef prepared a seasonal menu featuring fresh vegetables from local farms.",sentence_reorder,0.333,True
"The executive chef prepared a seasonal menu featuring fresh vegetables from local farms. He combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.","The executive chef prepared a seasonal menu featuring fresh vegetables from local farms. him combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.",paragraph_pronoun_change,0.994,True
"The executive chef prepared a seasonal menu featuring fresh vegetables from local farms. He combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.","The head chef prepared a spring menu featuring fresh vegetables from local farms. He combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.",phrase_level_rewrite,0.031,True
"The executive chef prepared a seasonal menu featuring fresh vegetables from local farms. He combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.","The executive chef prepared a seasonal menu featuring fresh vegetables from local farms. The lead combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.",human_like_rewrite,0.981,True
"The executive chef prepared a seasonal menu featuring fresh vegetables from local farms. He combined roasted squash, quinoa, and a lemon-herb dressing to create a balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.","The executive chef prepared a seasonal menu featuring fresh vegetables from local farms. He combined roasted squash, quinoa, and a lemon-herb dressing to create a well-balanced entrée. Diners complimented the restaurant on the inviting flavors and elegant presentation.",formal_rewrite,0.991,True
"The professor assigned a group project that required students to research sustainable energy solutions. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth.","Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth. The professor assigned a group project that required students to research sustainable energy solutions.",sentence_reorder,0.355,True
"The professor assigned a group project that required students to research sustainable energy solutions. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth.","The professor assigned a group project that required students to research sustainable energy solutions. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth.",paragraph_pronoun_change,1.0,True
"The professor assigned a group project that required students to research sustainable energy solutions. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth.","The professor assigned a group project that required students to study renewable power options. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth.",phrase_level_rewrite,0.234,True
"The professor assigned a group project that required students to research sustainable energy solutions. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth.","The professor assigned a group project that required students to research sustainable energy solutions. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth.",human_like_rewrite,1.0,True
"The professor assigned a group project that required students to research sustainable energy solutions. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class discussed solar power, wind turbines, and battery storage in depth.","The professor assigned a group project that required students to research sustainable energy solutions. Each team member contributed sources, analyzed data, and prepared a joint presentation. On presentation day, the class examined solar power, wind turbines, and battery storage in depth.",formal_rewrite,0.978,True
"During the storm, the service crew monitored the power lines and responded quickly to outages. They coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised their fast and efficient work.","They coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised their fast and efficient work. During the storm, the service crew monitored the power lines and responded quickly to outages.",sentence_reorder,0.675,True
"During the storm, the service crew monitored the power lines and responded quickly to outages. They coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised their fast and efficient work.","During the storm, the service crew monitored the power lines and responded quickly to outages. them coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised our fast and efficient work.",paragraph_pronoun_change,0.986,True
"During the storm, the service crew monitored the power lines and responded quickly to outages. They coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised their fast and efficient work.","During the severe weather, the maintenance team monitored the power lines and responded quickly to outages. They coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised their fast and efficient work.",phrase_level_rewrite,0.925,True
"During the storm, the service crew monitored the power lines and responded quickly to outages. They coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised their fast and efficient work.","During the storm, the service crew monitored the power lines and responded quickly to outages. The team coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised their fast and efficient work.",human_like_rewrite,0.99,True
"During the storm, the service crew monitored the power lines and responded quickly to outages. They coordinated with the dispatch center, ensured safety protocols were followed, and restored electricity to affected homes by midnight. Local news coverage praised their fast and efficient work.","During the storm, the service crew monitored the power lines and responded quickly to outages. They coordinated with the dispatch center, ensured safety protocols were followed, and reestablished power to affected homes by midnight. Local news coverage praised their rapid and effective work.",formal_rewrite,0.812,True
"The nonprofit organized a fundraiser to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center.","Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center. The nonprofit organized a fundraiser to support literacy programs in under-resourced communities.",sentence_reorder,0.313,True
"The nonprofit organized a fundraiser to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center.","The nonprofit organized a fundraiser to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center.",paragraph_pronoun_change,1.0,True
"The nonprofit organized a fundraiser to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center.","The charity arranged a benefit event to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center.",phrase_level_rewrite,0.897,True
"The nonprofit organized a fundraiser to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center.","The nonprofit organized a fundraiser to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center.",human_like_rewrite,1.0,True
"The nonprofit organized a fundraiser to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while staff members arranged workshops for children and parents. The event raised enough funds to expand evening reading sessions at the community center.","The nonprofit organized a fundraiser to support literacy programs in under-resourced communities. Donors contributed books, computers, and volunteer hours, while personnel members arranged workshops for children and parents. The event generated sufficient funding to expand evening reading sessions at the community center.",formal_rewrite,0.904,True
"At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business. Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared their own stories about building trust with their teams.","Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared their own stories about building trust with their teams. At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business.",sentence_reorder,0.635,True
"At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business. Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared their own stories about building trust with their teams.","At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business. Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared our own stories about building trust with our teams.",paragraph_pronoun_change,0.979,True
"At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business. Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared their own stories about building trust with their teams.","At the yearly summit, the main presenter emphasized the importance of responsible management in business. Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared their own stories about building trust with their teams.",phrase_level_rewrite,0.038,True
"At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business. Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared their own stories about building trust with their teams.","At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business. Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared their own stories about building trust with their teams.",human_like_rewrite,1.0,True
"At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business. Attendees heard case studies on transparency, accountability, and long-term planning. After the session, many participants shared their own stories about building trust with their teams.","At the annual conference, the keynote speaker emphasized the importance of ethical leadership in business. Attendees heard case studies on transparency, accountability, and long-term planning. subsequent to the session, many participants recounted their own experiences about building trust with their teams.",formal_rewrite,0.928,True
"A biotechnology lab conducted a clinical trial with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.","The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review. A biotechnology lab conducted a clinical trial with close monitoring of participants.",sentence_reorder,0.726,True
"A biotechnology lab conducted a clinical trial with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.","A biotechnology lab conducted a clinical trial with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.",paragraph_pronoun_change,1.0,True
"A biotechnology lab conducted a clinical trial with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.","A biotechnology lab conducted a clinical trial with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.",phrase_level_rewrite,1.0,True
"A biotechnology lab conducted a clinical trial with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.","A biotechnology lab conducted a clinical trial with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.",human_like_rewrite,1.0,True
"A biotechnology lab conducted a clinical trial with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.","A biotechnology lab conducted a medical study with close monitoring of participants. The investigators documented each patient's response to the treatment, recorded adverse events carefully, and reviewed results in weekly progress meetings. The findings helped the regulatory team prepare a submission for review.",formal_rewrite,0.957,True
"The logistics provider optimized shipment routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.","Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates. The logistics provider optimized shipment routes using new fleet management software.",sentence_reorder,0.195,True
"The logistics provider optimized shipment routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.","The logistics provider optimized shipment routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.",paragraph_pronoun_change,1.0,True
"The logistics provider optimized shipment routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.","The logistics provider optimized shipment routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.",phrase_level_rewrite,1.0,True
"The logistics provider optimized shipment routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.","The logistics provider optimized shipment routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.",human_like_rewrite,1.0,True
"The logistics provider optimized shipment routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse staff synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.","The logistics provider optimized delivery routes using new fleet management software. Drivers received updated delivery schedules in real time, and warehouse personnel synchronized loading times to eliminate delays. As a result, the company reduced fuel costs and improved on-time delivery rates.",formal_rewrite,0.52,True
"The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.","Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased. The bank announced an application upgrade designed to improve security and user experience.",sentence_reorder,0.696,True
"The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.","The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.",paragraph_pronoun_change,1.0,True
"The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.","The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.",phrase_level_rewrite,1.0,True
"The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.","The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.",human_like_rewrite,1.0,True
"The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.","The bank announced an application upgrade designed to improve security and user experience. Security protocols were strengthened with two-factor authentication, and customer feedback was used to simplify navigation. After the release, online payments processed more smoothly and support calls decreased.",formal_rewrite,1.0,True
"A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.","The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication. A university research group released a white paper on ethical applications of artificial intelligence.",sentence_reorder,0.031,True
"A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.","A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.",paragraph_pronoun_change,1.0,True
"A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.","A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.",phrase_level_rewrite,1.0,True
"A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.","A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.",human_like_rewrite,1.0,True
"A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.","A university research group released a white paper on ethical applications of artificial intelligence. The paper outlined governance principles, data privacy safeguards, and a framework for responsible deployment. Colleagues from other departments provided peer review before publication.",formal_rewrite,1.0,True
"The construction crew completed the eco-friendly housing project on schedule. They used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.","They used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout. The construction crew completed the eco-friendly housing project on schedule.",sentence_reorder,0.155,True
"The construction crew completed the eco-friendly housing project on schedule. They used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.","The construction crew completed the eco-friendly housing project on schedule. them used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.",paragraph_pronoun_change,0.996,True
"The construction crew completed the eco-friendly housing project on schedule. They used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.","The construction crew completed the eco-friendly housing project on schedule. They used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.",phrase_level_rewrite,1.0,True
"The construction crew completed the eco-friendly housing project on schedule. They used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.","The construction crew completed the eco-friendly housing project on schedule. The team used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.",human_like_rewrite,0.989,True
"The construction crew completed the eco-friendly housing project on schedule. They used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.","The construction crew completed the eco-friendly housing project on schedule. They used sustainable materials, installed energy-efficient systems, and coordinated with local authorities for inspections. New homeowners praised the quiet design and thoughtful layout.",formal_rewrite,1.0,True
